"","SystemCodeNumber","Capacity","Occupancy","LastUpdated","LastUpdated_rounded"
"30","BHMBCCMKT01","577",179,2016-10-05 13:30:19,2016-10-05 13:30:00
"31","BHMBCCMKT01","577",174,2016-10-05 13:57:20,2016-10-05 14:00:00
"32","BHMBCCMKT01","577",158,2016-10-05 14:30:17,2016-10-05 14:30:00
"33","BHMBCCMKT01","577",145,2016-10-05 14:57:19,2016-10-05 15:00:00
"34","BHMBCCMKT01","577",129,2016-10-05 15:30:15,2016-10-05 15:30:00
"35","BHMBCCMKT01","577",121,2016-10-05 16:04:18,2016-10-05 16:00:00
"36","BHMBCCMKT01","577",114,2016-10-05 16:30:17,2016-10-05 16:30:00
"37","BHMBCCMKT01","577",58,2016-10-06 07:57:25,2016-10-06 08:00:00
"38","BHMBCCMKT01","577",63,2016-10-06 08:30:20,2016-10-06 08:30:00
"39","BHMBCCMKT01","577",70,2016-10-06 08:57:22,2016-10-06 09:00:00
"40","BHMBCCMKT01","577",95,2016-10-06 09:30:20,2016-10-06 09:30:00
"41","BHMBCCMKT01","577",135,2016-10-06 10:03:20,2016-10-06 10:00:00
"42","BHMBCCMKT01","577",160,2016-10-06 10:30:20,2016-10-06 10:30:00
"43","BHMBCCMKT01","577",177,2016-10-06 10:57:20,2016-10-06 11:00:00
"44","BHMBCCMKT01","577",191,2016-10-06 11:30:22,2016-10-06 11:30:00
"45","BHMBCCMKT01","577",199,2016-10-06 12:04:24,2016-10-06 12:00:00
"46","BHMBCCMKT01","577",206,2016-10-06 12:30:24,2016-10-06 12:30:00
"47","BHMBCCMKT01","577",198,2016-10-06 12:57:21,2016-10-06 13:00:00
"48","BHMBCCMKT01","577",208,2016-10-06 13:30:21,2016-10-06 13:30:00
"49","BHMBCCMKT01","577",200,2016-10-06 13:57:22,2016-10-06 14:00:00
"50","BHMBCCMKT01","577",175,2016-10-06 14:30:23,2016-10-06 14:30:00
"51","BHMBCCMKT01","577",158,2016-10-06 15:04:22,2016-10-06 15:00:00
"52","BHMBCCMKT01","577",153,2016-10-06 15:31:22,2016-10-06 15:30:00
"53","BHMBCCMKT01","577",135,2016-10-06 16:04:23,2016-10-06 16:00:00
"54","BHMBCCMKT01","577",129,2016-10-06 16:30:27,2016-10-06 16:30:00
"55","BHMBCCMKT01","577",58,2016-10-07 08:03:27,2016-10-07 08:00:00
"56","BHMBCCMKT01","577",61,2016-10-07 08:30:27,2016-10-07 08:30:00
"57","BHMBCCMKT01","577",75,2016-10-07 09:04:13,2016-10-07 09:00:00
"58","BHMBCCMKT01","577",103,2016-10-07 09:30:27,2016-10-07 09:30:00
"59","BHMBCCMKT01","577",128,2016-10-07 09:57:27,2016-10-07 10:00:00
"60","BHMBCCMKT01","577",172,2016-10-07 10:30:27,2016-10-07 10:30:00
"61","BHMBCCMKT01","577",188,2016-10-07 10:57:30,2016-10-07 11:00:00
"62","BHMBCCMKT01","577",199,2016-10-07 11:30:28,2016-10-07 11:30:00
"63","BHMBCCMKT01","577",210,2016-10-07 12:03:29,2016-10-07 12:00:00
"64","BHMBCCMKT01","577",206,2016-10-07 12:30:28,2016-10-07 12:30:00
"65","BHMBCCMKT01","577",200,2016-10-07 13:04:28,2016-10-07 13:00:00
"66","BHMBCCMKT01","577",201,2016-10-07 13:30:29,2016-10-07 13:30:00
"67","BHMBCCMKT01","577",193,2016-10-07 14:03:28,2016-10-07 14:00:00
"68","BHMBCCMKT01","577",181,2016-10-07 14:30:32,2016-10-07 14:30:00
"69","BHMBCCMKT01","577",172,2016-10-07 15:04:30,2016-10-07 15:00:00
"70","BHMBCCMKT01","577",159,2016-10-07 15:30:32,2016-10-07 15:30:00
"71","BHMBCCMKT01","577",158,2016-10-07 15:57:31,2016-10-07 16:00:00
"72","BHMBCCMKT01","577",132,2016-10-07 16:30:29,2016-10-07 16:30:00
"73","BHMBCCMKT01","577",58,2016-10-08 07:57:38,2016-10-08 08:00:00
"74","BHMBCCMKT01","577",61,2016-10-08 08:30:37,2016-10-08 08:30:00
"75","BHMBCCMKT01","577",75,2016-10-08 08:57:34,2016-10-08 09:00:00
"76","BHMBCCMKT01","577",104,2016-10-08 09:30:37,2016-10-08 09:30:00
"77","BHMBCCMKT01","577",158,2016-10-08 10:04:34,2016-10-08 10:00:00
"78","BHMBCCMKT01","577",191,2016-10-08 10:30:34,2016-10-08 10:30:00
"79","BHMBCCMKT01","577",223,2016-10-08 10:57:34,2016-10-08 11:00:00
"80","BHMBCCMKT01","577",254,2016-10-08 11:30:38,2016-10-08 11:30:00
"81","BHMBCCMKT01","577",306,2016-10-08 12:04:34,2016-10-08 12:00:00
"82","BHMBCCMKT01","577",320,2016-10-08 12:30:36,2016-10-08 12:30:00
"83","BHMBCCMKT01","577",348,2016-10-08 13:04:39,2016-10-08 13:00:00
"84","BHMBCCMKT01","577",357,2016-10-08 13:30:36,2016-10-08 13:30:00
"85","BHMBCCMKT01","577",395,2016-10-08 14:03:38,2016-10-08 14:00:00
"86","BHMBCCMKT01","577",400,2016-10-08 14:30:35,2016-10-08 14:30:00
"87","BHMBCCMKT01","577",395,2016-10-08 14:57:41,2016-10-08 15:00:00
"88","BHMBCCMKT01","577",406,2016-10-08 15:30:39,2016-10-08 15:30:00
"89","BHMBCCMKT01","577",381,2016-10-08 16:04:39,2016-10-08 16:00:00
"90","BHMBCCMKT01","577",365,2016-10-08 16:30:42,2016-10-08 16:30:00
"91","BHMBCCMKT01","577",42,2016-10-09 08:04:40,2016-10-09 08:00:00
"92","BHMBCCMKT01","577",42,2016-10-09 08:30:45,2016-10-09 08:30:00
"93","BHMBCCMKT01","577",43,2016-10-09 09:04:46,2016-10-09 09:00:00
"94","BHMBCCMKT01","577",43,2016-10-09 09:30:45,2016-10-09 09:30:00
"95","BHMBCCMKT01","577",50,2016-10-09 09:57:41,2016-10-09 10:00:00
"96","BHMBCCMKT01","577",64,2016-10-09 10:30:43,2016-10-09 10:30:00
"97","BHMBCCMKT01","577",100,2016-10-09 11:04:44,2016-10-09 11:00:00
"98","BHMBCCMKT01","577",126,2016-10-09 11:30:41,2016-10-09 11:30:00
"99","BHMBCCMKT01","577",148,2016-10-09 11:57:46,2016-10-09 12:00:00
"100","BHMBCCMKT01","577",170,2016-10-09 12:30:41,2016-10-09 12:30:00
"101","BHMBCCMKT01","577",189,2016-10-09 13:04:43,2016-10-09 13:00:00
"102","BHMBCCMKT01","577",205,2016-10-09 13:30:42,2016-10-09 13:30:00
"103","BHMBCCMKT01","577",208,2016-10-09 14:03:42,2016-10-09 14:00:00
"104","BHMBCCMKT01","577",209,2016-10-09 14:30:42,2016-10-09 14:30:00
"105","BHMBCCMKT01","577",191,2016-10-09 15:04:44,2016-10-09 15:00:00
"106","BHMBCCMKT01","577",180,2016-10-09 15:30:46,2016-10-09 15:30:00
"107","BHMBCCMKT01","577",155,2016-10-09 16:03:43,2016-10-09 16:00:00
"108","BHMBCCMKT01","577",133,2016-10-09 16:30:43,2016-10-09 16:30:00
"109","BHMBCCMKT01","577",54,2016-10-10 08:04:47,2016-10-10 08:00:00
"110","BHMBCCMKT01","577",56,2016-10-10 08:30:47,2016-10-10 08:30:00
"111","BHMBCCMKT01","577",65,2016-10-10 09:04:47,2016-10-10 09:00:00
"112","BHMBCCMKT01","577",73,2016-10-10 09:30:49,2016-10-10 09:30:00
"113","BHMBCCMKT01","577",92,2016-10-10 10:03:48,2016-10-10 10:00:00
"114","BHMBCCMKT01","577",113,2016-10-10 10:30:48,2016-10-10 10:30:00
"115","BHMBCCMKT01","577",144,2016-10-10 10:57:52,2016-10-10 11:00:00
"116","BHMBCCMKT01","577",149,2016-10-10 11:30:48,2016-10-10 11:30:00
"117","BHMBCCMKT01","577",159,2016-10-10 11:57:49,2016-10-10 12:00:00
"118","BHMBCCMKT01","577",171,2016-10-10 12:30:48,2016-10-10 12:30:00
"119","BHMBCCMKT01","577",176,2016-10-10 13:04:49,2016-10-10 13:00:00
"120","BHMBCCMKT01","577",172,2016-10-10 13:30:49,2016-10-10 13:30:00
"121","BHMBCCMKT01","577",161,2016-10-10 14:03:49,2016-10-10 14:00:00
"122","BHMBCCMKT01","577",154,2016-10-10 14:30:49,2016-10-10 14:30:00
"123","BHMBCCMKT01","577",137,2016-10-10 14:57:54,2016-10-10 15:00:00
"124","BHMBCCMKT01","577",129,2016-10-10 15:30:49,2016-10-10 15:30:00
"125","BHMBCCMKT01","577",130,2016-10-10 15:57:55,2016-10-10 16:00:00
"126","BHMBCCMKT01","577",114,2016-10-10 16:30:49,2016-10-10 16:30:00
"127","BHMBCCMKT01","577",56,2016-10-11 08:04:57,2016-10-11 08:00:00
"128","BHMBCCMKT01","577",64,2016-10-11 08:30:54,2016-10-11 08:30:00
"129","BHMBCCMKT01","577",74,2016-10-11 08:57:56,2016-10-11 09:00:00
"130","BHMBCCMKT01","577",93,2016-10-11 09:30:55,2016-10-11 09:30:00
"131","BHMBCCMKT01","577",129,2016-10-11 09:57:59,2016-10-11 10:00:00
"132","BHMBCCMKT01","577",167,2016-10-11 10:30:54,2016-10-11 10:30:00
"133","BHMBCCMKT01","577",200,2016-10-11 10:57:55,2016-10-11 11:00:00
"134","BHMBCCMKT01","577",219,2016-10-11 11:30:59,2016-10-11 11:30:00
"135","BHMBCCMKT01","577",225,2016-10-11 12:03:55,2016-10-11 12:00:00
"136","BHMBCCMKT01","577",221,2016-10-11 12:30:56,2016-10-11 12:30:00
"137","BHMBCCMKT01","577",217,2016-10-11 13:04:00,2016-10-11 13:00:00
"138","BHMBCCMKT01","577",217,2016-10-11 13:31:01,2016-10-11 13:30:00
"139","BHMBCCMKT01","577",208,2016-10-11 14:04:00,2016-10-11 14:00:00
"140","BHMBCCMKT01","577",191,2016-10-11 14:30:56,2016-10-11 14:30:00
"141","BHMBCCMKT01","577",167,2016-10-11 15:03:58,2016-10-11 15:00:00
"142","BHMBCCMKT01","577",159,2016-10-11 15:33:56,2016-10-11 15:30:00
"143","BHMBCCMKT01","577",150,2016-10-11 16:01:00,2016-10-11 16:00:00
"144","BHMBCCMKT01","577",127,2016-10-11 16:26:56,2016-10-11 16:30:00
"145","BHMBCCMKT01","577",51,2016-10-12 08:04:00,2016-10-12 08:00:00
"146","BHMBCCMKT01","577",57,2016-10-12 08:31:01,2016-10-12 08:30:00
"147","BHMBCCMKT01","577",64,2016-10-12 09:03:59,2016-10-12 09:00:00
"148","BHMBCCMKT01","577",73,2016-10-12 09:26:58,2016-10-12 09:30:00
"149","BHMBCCMKT01","577",99,2016-10-12 10:01:04,2016-10-12 10:00:00
"150","BHMBCCMKT01","577",112,2016-10-12 10:31:04,2016-10-12 10:30:00
"151","BHMBCCMKT01","577",127,2016-10-12 11:04:01,2016-10-12 11:00:00
"152","BHMBCCMKT01","577",128,2016-10-12 11:31:05,2016-10-12 11:30:00
"153","BHMBCCMKT01","577",143,2016-10-12 12:04:04,2016-10-12 12:00:00
"154","BHMBCCMKT01","577",158,2016-10-12 12:31:05,2016-10-12 12:30:00
"155","BHMBCCMKT01","577",157,2016-10-12 13:04:04,2016-10-12 13:00:00
"156","BHMBCCMKT01","577",164,2016-10-12 13:34:03,2016-10-12 13:30:00
"157","BHMBCCMKT01","577",167,2016-10-12 14:03:59,2016-10-12 14:00:00
"158","BHMBCCMKT01","577",159,2016-10-12 14:34:04,2016-10-12 14:30:00
"159","BHMBCCMKT01","577",140,2016-10-12 15:01:03,2016-10-12 15:00:00
"160","BHMBCCMKT01","577",128,2016-10-12 15:30:59,2016-10-12 15:30:00
"161","BHMBCCMKT01","577",121,2016-10-12 15:57:05,2016-10-12 16:00:00
"162","BHMBCCMKT01","577",111,2016-10-12 16:31:05,2016-10-12 16:30:00
"163","BHMBCCMKT01","577",58,2016-10-13 07:57:02,2016-10-13 08:00:00
"164","BHMBCCMKT01","577",65,2016-10-13 08:31:06,2016-10-13 08:30:00
"165","BHMBCCMKT01","577",76,2016-10-13 09:04:02,2016-10-13 09:00:00
"166","BHMBCCMKT01","577",97,2016-10-13 09:31:01,2016-10-13 09:30:00
"167","BHMBCCMKT01","577",127,2016-10-13 09:57:08,2016-10-13 10:00:00
"168","BHMBCCMKT01","577",166,2016-10-13 10:31:03,2016-10-13 10:30:00
"169","BHMBCCMKT01","577",200,2016-10-13 11:04:08,2016-10-13 11:00:00
"170","BHMBCCMKT01","577",220,2016-10-13 11:31:06,2016-10-13 11:30:00
"171","BHMBCCMKT01","577",230,2016-10-13 11:57:06,2016-10-13 12:00:00
"172","BHMBCCMKT01","577",231,2016-10-13 12:31:08,2016-10-13 12:30:00
"173","BHMBCCMKT01","577",214,2016-10-13 13:04:04,2016-10-13 13:00:00
"174","BHMBCCMKT01","577",203,2016-10-13 13:31:08,2016-10-13 13:30:00
"175","BHMBCCMKT01","577",205,2016-10-13 13:57:07,2016-10-13 14:00:00
"176","BHMBCCMKT01","577",181,2016-10-13 14:31:06,2016-10-13 14:30:00
"177","BHMBCCMKT01","577",162,2016-10-13 15:04:08,2016-10-13 15:00:00
"178","BHMBCCMKT01","577",144,2016-10-13 15:31:08,2016-10-13 15:30:00
"179","BHMBCCMKT01","577",132,2016-10-13 16:04:08,2016-10-13 16:00:00
"180","BHMBCCMKT01","577",130,2016-10-13 16:31:08,2016-10-13 16:30:00
"181","BHMBCCMKT01","577",53,2016-10-14 08:01:05,2016-10-14 08:00:00
"182","BHMBCCMKT01","577",57,2016-10-14 08:27:10,2016-10-14 08:30:00
"183","BHMBCCMKT01","577",67,2016-10-14 09:01:08,2016-10-14 09:00:00
"184","BHMBCCMKT01","577",100,2016-10-14 09:27:10,2016-10-14 09:30:00
"185","BHMBCCMKT01","577",134,2016-10-14 10:01:11,2016-10-14 10:00:00
"186","BHMBCCMKT01","577",157,2016-10-14 10:27:09,2016-10-14 10:30:00
"187","BHMBCCMKT01","577",205,2016-10-14 11:01:07,2016-10-14 11:00:00
"188","BHMBCCMKT01","577",220,2016-10-14 11:27:06,2016-10-14 11:30:00
"189","BHMBCCMKT01","577",224,2016-10-14 12:01:11,2016-10-14 12:00:00
"190","BHMBCCMKT01","577",213,2016-10-14 12:27:06,2016-10-14 12:30:00
"191","BHMBCCMKT01","577",205,2016-10-14 13:01:11,2016-10-14 13:00:00
"192","BHMBCCMKT01","577",201,2016-10-14 13:27:07,2016-10-14 13:30:00
"193","BHMBCCMKT01","577",182,2016-10-14 14:01:11,2016-10-14 14:00:00
"194","BHMBCCMKT01","577",174,2016-10-14 14:34:08,2016-10-14 14:30:00
"195","BHMBCCMKT01","577",171,2016-10-14 15:01:12,2016-10-14 15:00:00
"196","BHMBCCMKT01","577",161,2016-10-14 15:27:08,2016-10-14 15:30:00
"197","BHMBCCMKT01","577",138,2016-10-14 16:01:11,2016-10-14 16:00:00
"198","BHMBCCMKT01","577",134,2016-10-14 16:34:08,2016-10-14 16:30:00
"199","BHMBCCMKT01","577",53,2016-10-15 08:01:11,2016-10-15 08:00:00
"200","BHMBCCMKT01","577",63,2016-10-15 08:34:10,2016-10-15 08:30:00
"201","BHMBCCMKT01","577",77,2016-10-15 09:01:09,2016-10-15 09:00:00
"202","BHMBCCMKT01","577",101,2016-10-15 09:27:11,2016-10-15 09:30:00
"203","BHMBCCMKT01","577",154,2016-10-15 10:01:12,2016-10-15 10:00:00
"204","BHMBCCMKT01","577",171,2016-10-15 10:27:15,2016-10-15 10:30:00
"205","BHMBCCMKT01","577",211,2016-10-15 11:01:14,2016-10-15 11:00:00
"206","BHMBCCMKT01","577",239,2016-10-15 11:27:14,2016-10-15 11:30:00
"207","BHMBCCMKT01","577",276,2016-10-15 12:01:12,2016-10-15 12:00:00
"208","BHMBCCMKT01","577",297,2016-10-15 12:27:10,2016-10-15 12:30:00
"209","BHMBCCMKT01","577",332,2016-10-15 13:01:14,2016-10-15 13:00:00
"210","BHMBCCMKT01","577",352,2016-10-15 13:34:13,2016-10-15 13:30:00
"211","BHMBCCMKT01","577",391,2016-10-15 14:01:13,2016-10-15 14:00:00
"212","BHMBCCMKT01","577",409,2016-10-15 14:27:12,2016-10-15 14:30:00
"213","BHMBCCMKT01","577",442,2016-10-15 15:01:13,2016-10-15 15:00:00
"214","BHMBCCMKT01","577",428,2016-10-15 15:27:12,2016-10-15 15:30:00
"215","BHMBCCMKT01","577",412,2016-10-15 16:01:15,2016-10-15 16:00:00
"216","BHMBCCMKT01","577",393,2016-10-15 16:27:16,2016-10-15 16:30:00
"217","BHMBCCMKT01","577",48,2016-10-16 08:04:13,2016-10-16 08:00:00
"218","BHMBCCMKT01","577",48,2016-10-16 08:27:13,2016-10-16 08:30:00
"219","BHMBCCMKT01","577",55,2016-10-16 09:01:15,2016-10-16 09:00:00
"220","BHMBCCMKT01","577",57,2016-10-16 09:27:13,2016-10-16 09:30:00
"221","BHMBCCMKT01","577",57,2016-10-16 10:04:13,2016-10-16 10:00:00
"222","BHMBCCMKT01","577",56,2016-10-16 10:34:13,2016-10-16 10:30:00
"223","BHMBCCMKT01","577",56,2016-10-16 11:01:13,2016-10-16 11:00:00
"224","BHMBCCMKT01","577",56,2016-10-16 11:27:17,2016-10-16 11:30:00
"225","BHMBCCMKT01","577",65,2016-10-16 12:01:16,2016-10-16 12:00:00
"226","BHMBCCMKT01","577",105,2016-10-16 12:27:14,2016-10-16 12:30:00
"227","BHMBCCMKT01","577",131,2016-10-16 13:01:16,2016-10-16 13:00:00
"228","BHMBCCMKT01","577",146,2016-10-16 13:27:17,2016-10-16 13:30:00
"229","BHMBCCMKT01","577",170,2016-10-16 14:01:18,2016-10-16 14:00:00
"230","BHMBCCMKT01","577",180,2016-10-16 14:27:13,2016-10-16 14:30:00
"231","BHMBCCMKT01","577",192,2016-10-16 15:01:18,2016-10-16 15:00:00
"232","BHMBCCMKT01","577",185,2016-10-16 15:31:18,2016-10-16 15:30:00
"233","BHMBCCMKT01","577",173,2016-10-16 15:57:16,2016-10-16 16:00:00
"234","BHMBCCMKT01","577",154,2016-10-16 16:31:17,2016-10-16 16:30:00
"235","BHMBCCMKT01","577",50,2016-10-17 08:01:16,2016-10-17 08:00:00
"236","BHMBCCMKT01","577",54,2016-10-17 08:27:16,2016-10-17 08:30:00
"237","BHMBCCMKT01","577",66,2016-10-17 09:01:17,2016-10-17 09:00:00
"238","BHMBCCMKT01","577",76,2016-10-17 09:27:20,2016-10-17 09:30:00
"239","BHMBCCMKT01","577",112,2016-10-17 10:04:20,2016-10-17 10:00:00
"240","BHMBCCMKT01","577",119,2016-10-17 10:31:16,2016-10-17 10:30:00
"241","BHMBCCMKT01","577",144,2016-10-17 11:04:20,2016-10-17 11:00:00
"242","BHMBCCMKT01","577",153,2016-10-17 11:31:18,2016-10-17 11:30:00
"243","BHMBCCMKT01","577",159,2016-10-17 12:04:19,2016-10-17 12:00:00
"244","BHMBCCMKT01","577",154,2016-10-17 12:31:21,2016-10-17 12:30:00
"245","BHMBCCMKT01","577",154,2016-10-17 12:57:17,2016-10-17 13:00:00
"246","BHMBCCMKT01","577",157,2016-10-17 13:31:21,2016-10-17 13:30:00
"247","BHMBCCMKT01","577",161,2016-10-17 14:04:21,2016-10-17 14:00:00
"248","BHMBCCMKT01","577",147,2016-10-17 14:31:21,2016-10-17 14:30:00
"249","BHMBCCMKT01","577",133,2016-10-17 14:57:18,2016-10-17 15:00:00
"250","BHMBCCMKT01","577",121,2016-10-17 15:31:21,2016-10-17 15:30:00
"251","BHMBCCMKT01","577",115,2016-10-17 15:57:17,2016-10-17 16:00:00
"252","BHMBCCMKT01","577",110,2016-10-17 16:28:21,2016-10-17 16:30:00
"253","BHMBCCMKT01","577",57,2016-10-18 08:01:23,2016-10-18 08:00:00
"254","BHMBCCMKT01","577",60,2016-10-18 08:28:25,2016-10-18 08:30:00
"255","BHMBCCMKT01","577",72,2016-10-18 09:01:23,2016-10-18 09:00:00
"256","BHMBCCMKT01","577",91,2016-10-18 09:28:22,2016-10-18 09:30:00
"257","BHMBCCMKT01","577",145,2016-10-18 10:01:25,2016-10-18 10:00:00
"258","BHMBCCMKT01","577",178,2016-10-18 10:28:58,2016-10-18 10:30:00
"259","BHMBCCMKT01","577",220,2016-10-18 11:01:57,2016-10-18 11:00:00
"260","BHMBCCMKT01","577",228,2016-10-18 11:27:56,2016-10-18 11:30:00
"261","BHMBCCMKT01","577",231,2016-10-18 12:01:59,2016-10-18 12:00:00
"262","BHMBCCMKT01","577",224,2016-10-18 12:27:57,2016-10-18 12:30:00
"263","BHMBCCMKT01","577",237,2016-10-18 13:01:56,2016-10-18 13:00:00
"264","BHMBCCMKT01","577",227,2016-10-18 13:28:57,2016-10-18 13:30:00
"265","BHMBCCMKT01","577",226,2016-10-18 13:54:59,2016-10-18 14:00:00
"266","BHMBCCMKT01","577",200,2016-10-18 14:27:56,2016-10-18 14:30:00
"267","BHMBCCMKT01","577",165,2016-10-18 15:01:58,2016-10-18 15:00:00
"268","BHMBCCMKT01","577",157,2016-10-18 15:27:59,2016-10-18 15:30:00
"269","BHMBCCMKT01","577",149,2016-10-18 15:55:00,2016-10-18 16:00:00
"270","BHMBCCMKT01","577",124,2016-10-18 16:27:54,2016-10-18 16:30:00
"271","BHMBCCMKT01","577",49,2016-10-19 08:05:03,2016-10-19 08:00:00
"272","BHMBCCMKT01","577",51,2016-10-19 08:25:01,2016-10-19 08:30:00
"273","BHMBCCMKT01","577",59,2016-10-19 08:58:05,2016-10-19 09:00:00
"274","BHMBCCMKT01","577",76,2016-10-19 09:32:04,2016-10-19 09:30:00
"275","BHMBCCMKT01","577",105,2016-10-19 09:58:04,2016-10-19 10:00:00
"276","BHMBCCMKT01","577",135,2016-10-19 10:25:04,2016-10-19 10:30:00
"277","BHMBCCMKT01","577",156,2016-10-19 10:59:00,2016-10-19 11:00:00
"278","BHMBCCMKT01","577",177,2016-10-19 11:25:04,2016-10-19 11:30:00
"279","BHMBCCMKT01","577",181,2016-10-19 11:59:05,2016-10-19 12:00:00
"280","BHMBCCMKT01","577",171,2016-10-19 12:25:00,2016-10-19 12:30:00
"281","BHMBCCMKT01","577",165,2016-10-19 12:58:01,2016-10-19 13:00:00
"282","BHMBCCMKT01","577",167,2016-10-19 13:25:03,2016-10-19 13:30:00
"283","BHMBCCMKT01","577",161,2016-10-19 13:58:02,2016-10-19 14:00:00
"284","BHMBCCMKT01","577",156,2016-10-19 14:32:03,2016-10-19 14:30:00
"285","BHMBCCMKT01","577",144,2016-10-19 14:58:03,2016-10-19 15:00:00
"286","BHMBCCMKT01","577",127,2016-10-19 15:32:05,2016-10-19 15:30:00
"287","BHMBCCMKT01","577",117,2016-10-19 15:59:01,2016-10-19 16:00:00
"288","BHMBCCMKT01","577",110,2016-10-19 16:25:03,2016-10-19 16:30:00
"289","BHMBCCMKT01","577",37,2016-10-20 08:00:00,2016-10-20 08:00:00
"290","BHMBCCMKT01","577",41,2016-10-20 08:30:00,2016-10-20 08:30:00
"291","BHMBCCMKT01","577",51,2016-10-20 09:00:00,2016-10-20 09:00:00
"292","BHMBCCMKT01","577",73,2016-10-20 09:30:00,2016-10-20 09:30:00
"293","BHMBCCMKT01","577",107,2016-10-20 10:00:00,2016-10-20 10:00:00
"294","BHMBCCMKT01","577",137,2016-10-20 10:30:00,2016-10-20 10:30:00
"295","BHMBCCMKT01","577",171,2016-10-20 11:00:00,2016-10-20 11:00:00
"296","BHMBCCMKT01","577",189,2016-10-20 11:30:00,2016-10-20 11:30:00
"297","BHMBCCMKT01","577",206,2016-10-20 12:00:00,2016-10-20 12:00:00
"298","BHMBCCMKT01","577",211,2016-10-20 12:30:00,2016-10-20 12:30:00
"299","BHMBCCMKT01","577",215,2016-10-20 13:00:00,2016-10-20 13:00:00
"300","BHMBCCMKT01","577",213,2016-10-20 13:30:00,2016-10-20 13:30:00
"301","BHMBCCMKT01","577",208,2016-10-20 14:00:00,2016-10-20 14:00:00
"302","BHMBCCMKT01","577",192,2016-10-20 14:30:00,2016-10-20 14:30:00
"303","BHMBCCMKT01","577",172,2016-10-20 15:00:00,2016-10-20 15:00:00
"304","BHMBCCMKT01","577",159,2016-10-20 15:30:00,2016-10-20 15:30:00
"305","BHMBCCMKT01","577",145,2016-10-20 16:00:00,2016-10-20 16:00:00
"306","BHMBCCMKT01","577",131,2016-10-20 16:30:00,2016-10-20 16:30:00
"307","BHMBCCMKT01","577",37,2016-10-21 08:00:00,2016-10-21 08:00:00
"308","BHMBCCMKT01","577",42,2016-10-21 08:30:00,2016-10-21 08:30:00
"309","BHMBCCMKT01","577",56,2016-10-21 09:00:00,2016-10-21 09:00:00
"310","BHMBCCMKT01","577",84,2016-10-21 09:30:00,2016-10-21 09:30:00
"311","BHMBCCMKT01","577",125,2016-10-21 10:00:00,2016-10-21 10:00:00
"312","BHMBCCMKT01","577",160,2016-10-21 10:30:00,2016-10-21 10:30:00
"313","BHMBCCMKT01","577",190,2016-10-21 11:00:00,2016-10-21 11:00:00
"314","BHMBCCMKT01","577",212,2016-10-21 11:30:00,2016-10-21 11:30:00
"315","BHMBCCMKT01","577",223,2016-10-21 12:00:00,2016-10-21 12:00:00
"316","BHMBCCMKT01","577",220,2016-10-21 12:30:00,2016-10-21 12:30:00
