"","x"
"183","Broad Street"
"184","Broad Street"
"185","Broad Street"
"186","Broad Street"
"187","Broad Street"
"188","Bull Ring"
"189","Bull Ring"
"190","Bull Ring"
"191","Bull Ring"
"192","Bull Ring"
"193","Bull Ring"
"194","Bull Ring"
"195","Bull Ring"
"196","Bull Ring"
"197","Bull Ring"
"198","Bull Ring"
"199","NIA Car Parks"
"200","NIA Car Parks"
"201","NIA Car Parks"
"202","NIA Car Parks"
"203","NIA Car Parks"
"204","NIA Car Parks"
"205","NIA Car Parks"
"206","NIA Car Parks"
"207","NIA Car Parks"
"208","NIA Car Parks"
"209","NIA Car Parks"
"210","NIA South"
"211","NIA South"
"212","NIA South"
"213","NIA South"
"214","NIA South"
"215","NIA South"
"216","NIA South"
"217","NIA South"
"218","NIA South"
"219","NIA South"
"220","NIA South"
"221","Others-CCCPS105a"
"222","Others-CCCPS105a"
"223","Others-CCCPS105a"
"224","Others-CCCPS105a"
"225","Others-CCCPS105a"
"226","Others-CCCPS105a"
"227","Others-CCCPS105a"
"228","Others-CCCPS105a"
"229","Others-CCCPS105a"
"230","Others-CCCPS105a"
"231","Others-CCCPS105a"
"232","Others-CCCPS119a"
"233","Others-CCCPS119a"
"234","Others-CCCPS119a"
"235","Others-CCCPS119a"
"236","Others-CCCPS119a"
"237","Others-CCCPS119a"
"238","Others-CCCPS119a"
"239","Others-CCCPS119a"
"240","Others-CCCPS119a"
"241","Others-CCCPS119a"
"242","Others-CCCPS119a"
"243","Others-CCCPS133"
"244","Others-CCCPS133"
"245","Others-CCCPS133"
"246","Others-CCCPS133"
"247","Others-CCCPS133"
"248","Others-CCCPS133"
"249","Others-CCCPS133"
"250","Others-CCCPS133"
"251","Others-CCCPS133"
"252","Others-CCCPS133"
"253","Others-CCCPS133"
"254","Others-CCCPS135a"
"255","Others-CCCPS135a"
"256","Others-CCCPS135a"
"257","Others-CCCPS135a"
"258","Others-CCCPS135a"
"259","Others-CCCPS135a"
"260","Others-CCCPS135a"
"261","Others-CCCPS135a"
"262","Others-CCCPS135a"
"263","Others-CCCPS135a"
"264","Others-CCCPS135a"
"265","Others-CCCPS202"
"266","Others-CCCPS202"
"267","Others-CCCPS202"
"268","Others-CCCPS202"
"269","Others-CCCPS202"
"270","Others-CCCPS202"
"271","Others-CCCPS202"
"272","Others-CCCPS202"
"273","Others-CCCPS202"
"274","Others-CCCPS202"
"275","Others-CCCPS202"
"276","Others-CCCPS8"
"277","Others-CCCPS8"
"278","Others-CCCPS8"
"279","Others-CCCPS8"
"280","Others-CCCPS8"
"281","Others-CCCPS8"
"282","Others-CCCPS8"
"283","Others-CCCPS8"
"284","Others-CCCPS8"
"285","Others-CCCPS8"
"286","Others-CCCPS8"
"287","Others-CCCPS98"
"288","Others-CCCPS98"
"289","Others-CCCPS98"
"290","Others-CCCPS98"
"291","Others-CCCPS98"
"292","Others-CCCPS98"
"293","Others-CCCPS98"
"294","Others-CCCPS98"
"295","Others-CCCPS98"
"296","Others-CCCPS98"
"297","Others-CCCPS98"
"298","Shopping"
"299","Shopping"
"300","Shopping"
"301","Shopping"
"302","Shopping"
"303","Shopping"
"304","Shopping"
"305","Shopping"
"306","Shopping"
"307","Shopping"
"308","Shopping"
